name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
SCAN_HOST,0.0,10.0,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,10.0,25.0,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,25.0,45.0,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,1,0,0,[],None,None
EXPLOIT_VULN,45.0,50.640472998621654,5.640472998621654,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,1,0,0,[],network,CompleteTopologyShuffle
SCAN_HOST,60.640472998621654,70.64047299862165,9.999999999999993,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,70.64047299862165,85.64047299862165,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,85.64047299862165,105.64047299862165,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,2,0,0,[],None,None
EXPLOIT_VULN,105.64047299862165,105.79562797635688,0.15515497773523634,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,2,0,0,[],network,HostTopologyShuffle
SCAN_HOST,115.79562797635688,125.79562797635688,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,125.79562797635688,140.79562797635688,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,140.79562797635688,160.79562797635688,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,3,0,0,[],None,None
EXPLOIT_VULN,160.79562797635688,163.44413004956544,2.6485020732085616,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,3,0,0,[],network,IPShuffle
SCAN_HOST,173.44413004956544,183.44413004956544,10.0,-1,-1,None,None,0,0,0,[],None,None
ENUM_HOST,183.44413004956544,198.44413004956544,15.0,-1,-1,None,None,0,0,0,[],None,None
SCAN_PORT,198.44413004956544,218.44413004956544,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,0,0,[],None,None
EXPLOIT_VULN,218.44413004956544,244.16744627123924,25.723316221673798,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,0,0,[],None,None
BRUTE_FORCE,244.16744627123924,244.58162541418352,0.4141791429442776,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,5,0,[],application,PortShuffle
SCAN_PORT,254.58162541418352,274.5816254141835,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,5,0,[],None,None
EXPLOIT_VULN,274.5816254141835,285.02914718227703,10.447521768093509,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,5,0,[],application,ServiceDiversity
SCAN_PORT,295.02914718227703,315.02914718227703,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,5,0,[],None,None
EXPLOIT_VULN,315.02914718227703,325.75905238766467,10.729905205387638,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,4,5,0,[],network,CompleteTopologyShuffle
SCAN_HOST,335.75905238766467,345.75905238766467,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,345.75905238766467,360.75905238766467,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,360.75905238766467,380.75905238766467,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,5,5,0,[],None,None
EXPLOIT_VULN,380.75905238766467,382.65457270813437,1.8955203204697,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,5,5,0,[],network,HostTopologyShuffle
SCAN_HOST,392.65457270813437,402.65457270813437,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,402.65457270813437,417.65457270813437,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,417.65457270813437,437.65457270813437,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,6,5,0,[],None,None
EXPLOIT_VULN,437.65457270813437,437.770090553777,0.11551784564261425,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,6,5,0,[],network,IPShuffle
SCAN_HOST,447.770090553777,457.770090553777,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,457.770090553777,472.770090553777,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,472.770090553777,492.770090553777,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],None,None
EXPLOIT_VULN,492.770090553777,518.7281827785738,25.958092224796815,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],application,PortShuffle
SCAN_PORT,528.7281827785738,548.7281827785738,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],None,None
EXPLOIT_VULN,548.7281827785738,559.3315672663392,10.603384487765425,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],application,ServiceDiversity
SCAN_PORT,569.3315672663392,589.3315672663392,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],None,None
EXPLOIT_VULN,589.3315672663392,599.1228070926496,9.791239826310402,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,7,5,0,[],network,CompleteTopologyShuffle
SCAN_HOST,609.1228070926496,619.1228070926496,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,619.1228070926496,634.1228070926496,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,634.1228070926496,654.1228070926496,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,8,5,0,[],None,None
EXPLOIT_VULN,654.1228070926496,656.6337310364441,2.5109239437945234,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,8,5,0,[],network,HostTopologyShuffle
SCAN_HOST,666.6337310364441,676.6337310364441,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,676.6337310364441,691.6337310364441,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,691.6337310364441,711.5047194528095,19.87098841636532,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,9,5,0,[],network,IPShuffle
SCAN_HOST,721.5047194528095,731.5047194528095,10.0,-1,-1,None,None,0,5,0,[],None,None
ENUM_HOST,731.5047194528095,746.5047194528095,15.0,-1,-1,None,None,0,5,0,[],None,None
SCAN_PORT,746.5047194528095,766.5047194528095,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,5,0,[],None,None
EXPLOIT_VULN,766.5047194528095,792.6956320152892,26.190912562479753,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,5,0,[],None,None
BRUTE_FORCE,792.6956320152892,793.4366541575483,0.7410221422591121,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,11,0,[],application,PortShuffle
SCAN_PORT,803.4366541575483,823.4366541575483,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,11,0,[],None,None
EXPLOIT_VULN,823.4366541575483,848.4626582115917,25.02600405404337,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,11,0,[],None,None
BRUTE_FORCE,848.4626582115917,863.1813680404457,14.718709828854003,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,14,0,[],application,ServiceDiversity
SCAN_PORT,873.1813680404457,893.1813680404457,20.0,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,14,0,[],None,None
EXPLOIT_VULN,893.1813680404457,903.2162835632887,10.034915522842994,0,3eaf75b1-c057-4ca6-87ca-f63ebdccb2b5,None,None,10,14,0,[],network,CompleteTopologyShuffle
SCAN_HOST,913.2162835632887,923.2162835632887,10.0,-1,-1,None,None,0,14,0,[],None,None
ENUM_HOST,923.2162835632887,938.2162835632887,15.0,-1,-1,None,None,0,14,0,[],None,None
SCAN_PORT,938.2162835632887,958.2162835632887,20.0,1,aa681631-7d60-4eae-892e-305909868169,None,None,1,14,0,[],None,None
EXPLOIT_VULN,958.2162835632887,960.6404815511345,2.424197987845787,1,aa681631-7d60-4eae-892e-305909868169,None,None,1,14,0,[],network,HostTopologyShuffle
SCAN_HOST,970.6404815511345,980.6404815511345,10.0,-1,-1,None,None,0,14,0,[],None,None
ENUM_HOST,980.6404815511345,995.6404815511345,15.0,-1,-1,None,None,0,14,0,[],None,None
SCAN_PORT,995.6404815511345,1015.6404815511345,20.0,1,aa681631-7d60-4eae-892e-305909868169,None,None,2,14,0,[],None,None
EXPLOIT_VULN,1015.6404815511345,1016.7236039406685,1.083122389533969,1,aa681631-7d60-4eae-892e-305909868169,None,None,2,14,0,[],network,IPShuffle
SCAN_HOST,1026.7236039406685,1036.7236039406685,10.0,-1,-1,None,None,0,14,0,[],None,None
ENUM_HOST,1036.7236039406685,1051.7236039406685,15.0,-1,-1,None,None,0,14,0,[],None,None
SCAN_PORT,1051.7236039406685,1071.7236039406685,20.0,1,aa681631-7d60-4eae-892e-305909868169,None,None,3,14,0,[],None,None
